No,Location,State,Latitude,Longitude
1,Desaru Coast Adventure Water Park,Johor,1.5380641,104.2629378
2,Pulau Rawa,Johor,2.520353,103.9715036
3,Pulau Sibu,Johor,2.214955,104.0531219
4,Pantai Desaru,Johor,1.5402777,104.250546
5,Taman Negara Endau-Rompin,Johor,2.471916,103.2663479
6,Legoland Malaysia Resort,Johor,1.4273918,103.630269
7,Kulim Eco Trail Retreat,Johor,1.653948,103.927053
8,Taman Negara Tanjung Piai,Johor,1.2681099,103.50871
9,Zoo Johor (Johor Safari Park),Johor,1.4575382,103.7521843
10,Austin Heights Water & Adventure Park,Johor,1.5621093,103.7757203
11,KUSO 3D Art Gallery,Johor,1.550805,103.7851599
12,Bazaar Johor (Bazaar Karat),Johor,1.4582234,103.7641308
13,Johor Premium Outlet (JPO),Johor,1.6036577,103.6217117
14,Nasuha Herbs & Spice Farm,Johor,2.1286989,102.7043346
15,Taman Buaya Teluk Sengat,Johor,1.565062,104.0263751
16,Air Terjun Kota Tinggi,Johor,1.8288717,103.827508
17,Kluang Coffee Powder Factory,Johor,2.0219969,103.324695
18,Danga Bay,Johor,1.4774347,103.7237595
19,Rock World,Johor,1.5795037,103.7290206
20,LOST in JB Escape Room,Johor,1.56116,103.779331
21,Desaru Ostrich Farm,Johor,1.3688686,104.2393249
22,Angry Bird Activity Park,Johor,1.4629344,103.7635333
23,Puteri Harbour Indoor Theme Park,Johor,1.4161576,103.6569392
24,Hutan Bandar MBJB,Johor,1.4826838,103.7446561
25,Taman Negara Pulau Kukup,Johor,1.3271947,103.4343101
26,Nanyang Fish Farm,Johor,1.6977975,103.4888219
27,Laman Mahkota Istana Bukit Serene,Johor,1.4804282,103.7226121
28,Masjid Sultan Abu Bakar,Johor,1.45718,103.7513017
29,Taman Rekreasi Tanjung Emas,Johor,2.0475785,102.5554697
30,Taman Hutan Lagenda Gunung Ledang,Johor,2.3416687,102.6172876
31,Muzium Nelayan Tanjung Balau,Johor,1.6148317,104.2578758
32,Desaru Fruit Farm,Johor,1.5839028,104.1935403
33,Pantai Stulang Laut,Johor,1.4691487,103.7788501
34,Pantai Minyak Beku,Johor,1.7950466,102.8879349
35,Gunung Lambak,Johor,2.0250108,103.3421733
36,Hutan Lipur Gunung Pulai 2,Johor,1.592261,103.5105938
37,Pantai Air Papan,Johor,2.5200953,103.828464
38,Wet World Batu Pahat Village Resort,Johor,1.8816269,102.9453083
39,Penggaram Square Batu Pahat,Johor,1.8476158,102.9348024
40,Puteri Harbour Marina,Johor,1.417128,103.658282
41,Muzium Bugis Pontian,Johor,1.4280325,103.4117978
42,Muzium Kota Johor Lama,Johor,1.5806519,104.0177695
43,Muzium Layang-Layang Pasir Gudang,Johor,1.4749938,103.9063984
44,Muzium Tokoh Johor,Johor,1.4723095,103.7654617
45,Muzium Mersing,Johor,2.4326646,103.8397028
46,Taman Merdeka,Johor,1.4794193,103.735906
